Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
,168.6340,168.6340,168.6340,168.6340,168.6340,2022/12/17 16:51:39,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,168.6340,
,168.3770,168.3770,168.3770,168.3770,168.3770,2022/12/17 16:52:25,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,168.3770,
,164.8470,164.8470,164.8470,164.8470,164.8470,2022/12/17 16:52:58,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,164.8470,
,163.5945,163.5945,163.5945,163.5945,163.5945,2022/12/17 16:56:52,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,163.5945,
,165.2335,165.2335,165.2335,165.2335,165.2335,2022/12/17 16:57:24,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,165.2335,
,166.9445,166.9445,166.9445,166.9445,166.9445,2022/12/17 16:58:41,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,166.9445,
,167.6275,167.6275,167.6275,167.6275,167.6275,2022/12/17 17:00:23,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,167.6275,
,166.6720,166.6720,166.6720,166.6720,166.6720,2022/12/17 17:00:51,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,166.6720,
,167.2630,167.2630,167.2630,167.2630,167.2630,2022/12/17 17:01:17,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,167.2630,
,168.6450,168.6450,168.6450,168.6450,168.6450,2022/12/17 17:02:14,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,168.6450,
,168.0745,168.0745,168.0745,168.0745,168.0745,2022/12/17 17:04:20,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,168.0745,
,168.4845,168.4845,168.4845,168.4845,168.4845,2022/12/17 17:04:54,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,168.4845,
,169.9005,169.9005,169.9005,169.9005,169.9005,2022/12/17 17:05:41,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,169.9005,
,169.3165,169.3165,169.3165,169.3165,169.3165,2022/12/17 17:06:13,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,169.3165,
,168.0450,168.0450,168.0450,168.0450,168.0450,2022/12/17 17:06:48,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,168.0450,
,169.0515,169.0515,169.0515,169.0515,169.0515,2022/12/17 17:07:44,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,169.0515,
,168.9965,168.9965,168.9965,168.9965,168.9965,2022/12/17 17:08:54,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,168.9965,
,169.5380,169.5380,169.5380,169.5380,169.5380,2022/12/17 17:09:44,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,169.5380,
,99.9970,99.9970,99.9970,99.9970,99.9970,2022/12/17 17:10:17,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,99.9970,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
