Order Number,Pe_F1,Date_1,HR,T,Pe_F2,Date,HR,T,GRAV_MON,GRAV_PROM,end
D9108263,168.618,2022/12/17 15:25:32,33.4,21.6,168.650,2022/12/17 16:51:39,30.2,20.5,168.634,0.433,
D9108264,168.369,2022/12/17 15:26:49,33.4,21.6,168.385,2022/12/17 16:52:25,30.2,20.5,168.377,0.357,
D9109401,164.864,2022/12/17 15:27:44,33.4,21.6,164.830,2022/12/17 16:52:58,30.2,20.5,164.847,2.125,
D9109402,163.573,2022/12/17 15:29:18,33.4,21.6,163.616,2022/12/17 16:56:52,30.2,20.5,163.595,1.515,
D9104472,165.225,2022/12/17 15:30:03,33.4,21.6,165.242,2022/12/17 16:57:24,30.2,20.5,165.234,1.069,
D9104473,166.926,2022/12/17 15:30:50,33.4,21.6,166.963,2022/12/17 16:58:41,30.2,20.5,166.945,1.995,
D9104511,167.618,2022/12/17 15:31:38,33.4,21.6,167.637,2022/12/17 17:00:23,30.2,20.5,167.628,0.452,
D9104512,166.662,2022/12/17 15:32:18,33.4,21.6,166.682,2022/12/17 17:00:51,30.2,20.5,166.672,0.262,
D9104498,167.244,2022/12/17 15:32:58,33.4,21.6,167.282,2022/12/17 17:01:17,30.2,20.5,167.263,0.677,
D9104499,168.665,2022/12/17 15:33:42,33.4,21.6,168.625,2022/12/17 17:02:14,30.2,20.5,168.645,1.120,
D9108250,168.072,2022/12/17 15:34:25,33.4,21.6,168.077,2022/12/17 17:04:20,30.2,20.5,168.075,0.432,
D9108251,168.474,2022/12/17 15:35:01,33.4,21.6,168.495,2022/12/17 17:04:54,30.2,20.5,168.485,0.368,
D9108224,169.894,2022/12/17 15:35:43,33.4,21.6,169.907,2022/12/17 17:05:41,30.2,20.5,169.901,1.506,
D9108225,169.307,2022/12/17 15:36:55,33.4,21.6,169.326,2022/12/17 17:06:13,30.2,20.5,169.317,1.006,
D9108237,168.048,2022/12/17 15:37:37,33.4,21.6,168.042,2022/12/17 17:06:48,30.2,20.5,168.045,0.514,
D9108238,169.028,2022/12/17 15:38:18,33.4,21.6,169.075,2022/12/17 17:07:44,30.2,20.5,169.052,0.828,
D9108276,168.980,2022/12/17 15:39:09,33.4,21.6,169.013,2022/12/17 17:08:54,30.2,20.5,168.997,0.552,
D9108277,169.539,2022/12/17 15:39:55,33.4,21.6,169.537,2022/12/17 17:09:44,30.2,20.5,169.538,0.364,
QC,99.996,2022/12/17 15:40:41,31.5,21.5,99.997,2022/12/17 17:10:17,33.4,20.5,99.997,99.997,
,,,,,,,,,,,
,,,,,,,,,,,
