Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
,170.0025,170.0025,170.0025,170.0025,170.0025,2022/12/27 16:53:50,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,170.0025,
,170.5325,170.5325,170.5325,170.5325,170.5325,2022/12/27 16:56:40,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,170.5325,
,165.2895,165.2895,165.2895,165.2895,165.2895,2022/12/27 16:59:30,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,165.2895,
,167.2470,167.2470,167.2470,167.2470,167.2470,2022/12/27 17:02:20,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,167.2470,
,172.0755,172.0755,172.0755,172.0755,172.0755,2022/12/27 17:05:10,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,172.0755,
,169.1795,169.1795,169.1795,169.1795,169.1795,2022/12/27 17:08:00,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,169.1795,
,167.5885,167.5885,167.5885,167.5885,167.5885,2022/12/27 17:10:50,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,167.5885,
,169.4845,169.4845,169.4845,169.4845,169.4845,2022/12/27 17:13:40,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,169.4845,
,169.4715,169.4715,169.4715,169.4715,169.4715,2022/12/27 17:16:30,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,169.4715,
,169.9235,169.9235,169.9235,169.9235,169.9235,2022/12/27 17:19:20,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,169.9235,
,169.8585,169.8585,169.8585,169.8585,169.8585,2022/12/27 17:22:10,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,169.8585,
,168.3080,168.3080,168.3080,168.3080,168.3080,2022/12/27 17:25:00,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,168.3080,
,167.9675,167.9675,167.9675,167.9675,167.9675,2022/12/27 17:27:50,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,167.9675,
,170.0195,170.0195,170.0195,170.0195,170.0195,2022/12/27 17:30:40,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,170.0195,
,167.8095,167.8095,167.8095,167.8095,167.8095,2022/12/27 17:33:30,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,167.8095,
,167.6920,167.6920,167.6920,167.6920,167.6920,2022/12/27 17:36:20,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,167.6920,
,170.8695,170.8695,170.8695,170.8695,170.8695,2022/12/27 17:39:10,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,170.8695,
,164.9940,164.9940,164.9940,164.9940,164.9940,2022/12/27 17:42:00,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,164.9940,
,166.1435,166.1435,166.1435,166.1435,166.1435,2022/12/27 17:44:50,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,166.1435,
,99.9960,99.9960,99.9960,99.9960,99.9960,2022/12/27 17:47:40,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
